가게명,별점,주소,카테고리,위도,경도
세븐코인노래연습장,0.0,광주 서구 시청로56번길 8 지하 1층 쎄븐코인노래연습장,노래방,35.1532792040005,126.852731376864
코인몬스터 코인노래연습장 광주수완점,0.0,광주 광산구 임방울대로332번길 9-18 4층 코인몬스터 광주수완점,노래방,35.1900155400036,126.825899345851
더힐코인노래연습장,4.67,광주 서구 시청로56번길 18 볼륨소주방 지하1층,노래방,35.1532788567819,126.853859039694
비바인터넷노래연습장,0.0,광주 북구 안산로 40,노래방,35.1909007106333,126.902222725777
필통코인노래연습장,0.0,광주 광산구 임방울대로332번길 9-4,노래방,35.1900245538804,126.824650050853
락코인노래연습장,0.0,광주 광산구 사암로216번길 38-6 3층303호,노래방,35.1630268084077,126.81036376653
탑스타동전노래연습장,4.39,광주 광산구 풍영로200번길 51 3층,노래방,35.1899064074645,126.8169879892
MeYA코인노래연습장,0.0,광주 서구 상무오월로3번길 24-6 1층,노래방,35.1574839102551,126.860070389599
코노코인노래연습장,0.0,광주 북구 설죽로 499 2층,노래방,35.2036438915495,126.897989973525
멜론코인노래연습장,4.75,광주 남구 서문대로 717,노래방,35.1232797112573,126.897947867561
오라구코인노래연습장,0.0,광주 서구 하남대로 660,노래방,35.1716555679157,126.864802461591
필통코인노래연습장,4.62,광주 서구 월드컵4강로42번길 62,노래방,35.1419173905441,126.882535223096
몬스타동전노래연습장,0.0,광주 광산구 임방울대로332번길 25,노래방,35.18975998234,126.825256919001
홍길동전노래연습장,0.0,광주 북구 우치로90번길 25,노래방,35.1756446812269,126.914051491358
필통코인노래연습장,0.0,광주 남구 봉선중앙로 62-1,노래방,35.1265794211249,126.911470191899
소울보이스,0.0,광주 광산구 왕버들로 265,노래방,35.1962386348451,126.837689320355
짬짬이코인노래연습장 본사직영점,0.0,광주 북구 우치로90번길 6,노래방,35.1754154848032,126.912941657771
코노코노코인노래연습장,0.0,광주 광산구 임방울대로826번길 47 시너지타워 306호,노래방,35.2153064772063,126.84920631205
야동전 노래연습장,0.0,광주 동구 충장로 105-1,노래방,35.1470518920869,126.918403120036
금호코인노래연습장,0.0,광주 광산구 사암로 214,노래방,35.1634043288207,126.8088355567
쩐대동전노래연습장,0.0,광주 북구 우치로90번길 16,노래방,35.1754183229244,126.913506242854
엔젤스코인노래연습장 광주첨단점,0.0,광주 광산구 첨단중앙로106번길 29 1층,노래방,35.2149911155043,126.844800470237
질러넷동전노래방,0.0,광주 북구 서하로 113,노래방,35.187565988135,126.893073829351
필통코인노래연습장,4.55,"광주 동구 필문대로287번길 29-15 1,2층",노래방,35.1448087362192,126.930033186817
칸쵸코인노래연습장,0.0,광주 동구 충장로 94-9,노래방,35.1472217663018,126.917159814646
엔젤보이스 코인노래연습장,0.0,광주 광산구 풍영로200번길 71,노래방,35.1898802481866,126.818111493564
남부게임랜드동전노래방,0.0,광주 동구 필문대로273번길 4,노래방,35.1466193937538,126.92803657671
세븐스타코인노래방 전남대점,0.0,광주 북구 우치로 94-1,노래방,35.1759098109294,126.912721683287
코노코노 코인노래방,0.0,광주 동구 중앙로160번길 21 지하 1층 코인노래방,노래방,35.1471412959493,126.915235495755
세븐코인노래연습장,0.0,광주 북구 용봉택지로 77 3층 세븐코인노래연습장,노래방,35.1786448002389,126.895008459805
탑코인노래연습장,0.0,광주 동구 중앙로160번길 12-1 지하1층 탑코인노래연습장,노래방,35.1474448101671,126.914374926086
휴테마파크,0.0,광주 서구 풍금로177번길 5,노래방,35.1315417198918,126.858725193165
픽미업 코인노래연습장,0.0,광주 남구 효우로93번길 11,노래방,35.1053680907023,126.905578096706
빅타운게임장노래방,0.0,광주 북구 설죽로214번길 95,노래방,35.1780046846355,126.902930452441
힐링 동전 노래연습장,0.0,광주 북구 면앙로 151,노래방,35.1764969708519,126.928415891301
더보이스동전노래연습장,0.0,광주 광산구 임방울대로800번길 82,노래방,35.2137964719766,126.845722236688
잇츠코인노래연습장 보건대점,0.0,광주 광산구 북문대로419번길 61 1층,노래방,35.1923248617914,126.846107392131
필통코인노래연습장,0.0,광주 북구 문산로 43-11,노래방,35.186041658187,126.922065152297
큐코인노래방 첨단점,0.0,광주 광산구 앰코로 35,노래방,35.2215326011543,126.85239146838
챔프게임랜드,0.0,광주 남구 서문대로 662 기호빌딩 지하1층,노래방,35.1184001919882,126.899156609509
케이스타코인노래연습장,0.0,광주 북구 대천로 124-3 2층 케이스타코인노래연습장,노래방,35.1855188794632,126.920550637656
필통노래연습장,0.0,광주 북구 설죽로 496-5,노래방,35.2039778279272,126.899047856352
월드게임장노래방,0.0,광주 남구 제중로 39 월드게임랜드,노래방,35.1381106451959,126.913962029073
질러넷게임방노래방,0.0,광주 광산구 월계로 173-9,노래방,35.2143983312258,126.844195225228
락코인노래방and게임존,0.0,광주 북구 첨단연신로91번길 22,노래방,35.2065000276653,126.861917533306
잉스타코인노래연습장,0.0,광주 북구 밤실로 171,노래방,35.1626415533846,126.934444462602
팡팡동전,0.0,광주 남구 서문대로 700,노래방,35.1218220134326,126.89901120091
게임피아노래방,0.0,광주 광산구 앰코로 35 폭스존,노래방,35.2215326011543,126.85239146838
봉봉동전노래연습장,0.0,광주 북구 밤실로 205,노래방,35.1653564878137,126.932874408388
전일죠이랜드동전노래방,0.0,광주 동구 중앙로196번길 31-12,노래방,35.1489976834298,126.919244877961
세븐코인노래연습장,0.0,광주 서구 시청로56번길 8 지하 1층 쎄븐코인노래연습장,노래방,35.1532792040005,126.852731376864
코인몬스터 코인노래연습장 광주수완점,0.0,광주 북구 송해로 70-9 질러넷동전노래방,노래방,35.2048915982684,126.900109540308
더힐코인노래연습장,0.0,광주 서구 월드컵4강로28번길 56,노래방,35.141126524506,126.882245021129
비바인터넷노래연습장,0.0,광주 북구 송해로 65,노래방,35.2041344513589,126.899551720662
필통코인노래연습장,0.0,광주 북구 자미로 56,노래방,35.1709131465095,126.904491056065
락코인노래연습장,0.0,광주 동구 중앙로160번길 31-41,노래방,35.1471796530649,126.916736589985
탑스타동전노래연습장,0.0,광주 북구 서하로 199,노래방,35.1873793646046,126.90230588601
MeYA코인노래연습장,0.0,광주 북구 첨단연신로91번길 32-10,노래방,35.206998754059,126.861215375994
코노코인노래연습장,0.0,광주 광산구 북문대로419번길 61,노래방,35.1923248617914,126.846107392131
멜론코인노래연습장,0.0,광주 북구 서방로 25,노래방,35.1733094143236,126.915804423444
오라구코인노래연습장,0.0,광주 북구 군왕로208번길 14,노래방,35.1789245313853,126.936548551578
필통코인노래연습장,0.0,광주 북구 우치로100번길 9-4,노래방,35.1766328716092,126.91308691567
몬스타동전노래연습장,0.0,광주 북구 우치로126번길 6-1,노래방,35.1784712814539,126.912589731923
홍길동전노래연습장,0.0,광주 북구 서하로 199,노래방,35.1873793646046,126.90230588601
필통코인노래연습장,0.0,광주 북구 설죽로 518-8 큐브스타코인노래연습장 2층,노래방,35.2051146358312,126.898966282404
소울보이스,0.0,광주 북구 서하로 199,노래방,35.1873793646046,126.90230588601
짬짬이코인노래연습장 본사직영점,0.0,광주 동구 충장로안길 17 지하,노래방,35.1480261320356,126.915321273776
코노코노코인노래연습장,0.0,광주 광산구 용아로379번길 39,노래방,35.1764904360993,126.802176566005
야동전 노래연습장,0.0,광주 북구 하서로 424 202호,노래방,35.212639881358,126.875054757466
금호코인노래연습장,0.0,광주 서구 운천로 1 2층,노래방,35.1328511712192,126.859070526737
쩐대동전노래연습장,0.0,광주 서구 화정로 255 3층,노래방,35.1477912698717,126.884576302863
엔젤스코인노래연습장 광주첨단점,0.0,광주 서구 풍암1로21번길 3-10 DM타워,노래방,35.1258041725736,126.878597564698
질러넷동전노래방,4.27,광주 동구 중앙로160번길 27-1,노래방,35.1468153543311,126.915868701708
필통코인노래연습장,0.0,광주 북구 북문대로 113 지하1층 103호,노래방,35.1792831100328,126.875122949077
칸쵸코인노래연습장,0.0,광주 서구 상무중앙로 29 지하1층,노래방,35.1495913710549,126.847908223608
엔젤보이스 코인노래연습장,0.0,광주 광산구 첨단중앙로 96 LC타워 2층,노래방,35.2138342256441,126.843465057781
남부게임랜드동전노래방,0.0,광주 북구 첨단연신로107번길 5-10,노래방,35.2069699956806,126.86359029011
세븐스타코인노래방 전남대점,0.0,광주 북구 매곡로 70 지하1층,노래방,35.1912675505624,126.893243011816
코노코노 코인노래방,0.0,광주 남구 효우2로26번길 24,노래방,35.1025054143916,126.887684235694
세븐코인노래연습장,0.0,광주 동구 중앙로160번길 15-2 지하1,노래방,35.1473167642597,126.914940112611
탑코인노래연습장,0.0,광주 광산구 장신로147번길 5-18,노래방,35.1916620527008,126.824843623084
휴테마파크,0.0,광주 북구 동문대로 11,노래방,35.1658630879878,126.919339181829
픽미업 코인노래연습장,0.0,광주 북구 하서로 415,노래방,35.2122542713812,126.874086120681
빅타운게임장노래방,0.0,광주 북구 우치로90번길 11 B1,노래방,35.175631187556,126.913329933067
브루클린당구클럽,4.42,광주 동구 충장로 102-12 번지 2층,당구장,35.1470554517517,126.917404264143
SM 당구클럽,0.0,광주 서구 상무연하로 58,당구장,35.1532728775313,126.85050942751
존케이지빌리어즈 용산지구점,0.0,광주 동구 용산1로 12,당구장,35.1183831903654,126.924191259114
국가대표당구장,0.0,광주 북구 동운로201번길 57-3,당구장,35.1751619793216,126.874387484243
탑당구장,0.0,광주 북구 갈마로 55 4층 탑당구장,당구장,35.1620255302906,126.936581435145
s당구클럽,0.0,광주 광산구 장신로 176,당구장,35.190447851531,126.829334553884
락당구장,0.0,광주 서구 시청로60번길 10 금성빌딩,당구장,35.1537467024804,126.852775311963
우리동네당구장,0.0,광주 서구 회재로 906,당구장,35.1230434613978,126.863184451593
스타당구장,0.0,광주 서구 운천로17번길 4,당구장,35.134268593582,126.858786206915
신창당구장,0.0,광주 광산구 신창로72번길 10-29,당구장,35.1914015616075,126.838731054788
월산당구클럽,0.0,광주 남구 대남대로 307 무등종로약국,당구장,35.1394841157903,126.894743621792
데굴데굴 당구클럽,0.0,광주 북구 우치로100번길 24 5층,당구장,35.1762737193435,126.913644756311
코코당구장,0.0,광주 광산구 첨단중앙로152번길 76 4층,당구장,35.2188136472679,126.846281255979
포켓스토리,4.85,광주 북구 우치로 112,당구장,35.1774421995188,126.91246063364
스타당구클럽,0.0,광주 광산구 수완로 64,당구장,35.1908862929207,126.829095154391
수당구장,0.0,광주 광산구 수완로49번길 8 2층,당구장,35.1898465038846,126.828466546488
그냥당구장,0.0,광주 광산구 수완로 59,당구장,35.1903792852108,126.828460266243
준호네 당구장,0.0,광주 서구 상무연하로 22 7층,당구장,35.1501388209813,126.850486406655
힐링당구장,0.0,광주 북구 서하로 156,당구장,35.1870053457936,126.897452031932
쿠션당구클럽,0.0,광주 광산구 장신로 44 4층 쿠션당구클럽,당구장,35.1905540516861,126.814867322345
힐링당구클럽,0.0,광주 서구 군분로147번길 13,당구장,35.1445302609158,126.886415480931
네오빌리어드클럽,0.0,광주 서구 화운로 11 2층,당구장,35.1417767137797,126.88500550942
작당당구장,0.0,광주 남구 서문대로 828 2층,당구장,35.1322560766884,126.901042293615
스타당구클럽,0.0,광주 광산구 용아로379번길 49,당구장,35.1763886444817,126.801552937997
민당구클럽,0.0,광주 광산구 임방울대로801번길 26 4층,당구장,35.2191712402008,126.846231924075
518당구장,0.0,광주 서구 상무민주로76번길 1,당구장,35.1573337215365,126.859583670044
뽀록쟁이당구장,0.0,광주 광산구 임방울대로825번길 48,당구장,35.2201318866281,126.849015275843
홍당구클럽,0.0,광주 서구 화정로 134,당구장,35.1450879398164,126.871957050966
안우평광주당구아카데미클럽,0.0,광주 서구 풍금로151번길 14,당구장,35.1313173403945,126.858236125673
이프로당구클럽,0.0,광주 남구 봉선2로 91,당구장,35.1261356111169,126.916453014235
김성관당구클럽,4.53,광주 서구 상무중앙로78번길 10,당구장,35.1536875197556,126.849576244213
황제당구클럽,0.0,광주 광산구 무진대로231번길 30-25 광은빌딩 2층 황제당구클럽,당구장,35.1632469747152,126.807540630034
SM 당구클럽,0.0,광주 북구 설죽로370번길 30 3층,당구장,35.193351302571,126.901764330694
S당구클럽,0.0,광주 광산구 손재로110번길 20,당구장,35.1756276782328,126.798199530369
조이당구클럽,0.0,광주 서구 하남대로680번길 3,당구장,35.1711593198676,126.86720092717
세븐당구장,0.0,광주 광산구 월곡산정로 12,당구장,35.1663171496993,126.803870190698
삼일당구장,0.0,광주 동구 충장로 94-9,당구장,35.1472217663018,126.917159814646
풀하우스포켓클럽,0.0,광주 동구 필문대로 277,당구장,35.1465741192675,126.927689840575
사나이당구장,0.0,광주 광산구 광산로 13-1,당구장,35.1382579597976,126.793468485115
빌리케롬클럽,0.0,광주 광산구 사암로390번길 37 4층,당구장,35.1792728091835,126.809760110708
센타당구클럽,0.0,광주 광산구 장신로50번길 9-16,당구장,35.190170448693,126.816593882311
휴먼당구장,0.0,광주 서구 동천로10번길 36-8,당구장,35.1691769095862,126.861437847603
금메달당구클럽,0.0,광주 서구 풍암1로21번길 3-20,당구장,35.1263535036124,126.878367561053
M당구클럽,0.0,광주 남구 봉선2로 25 귀은빌딩  4층,당구장,35.125831110708,126.909158724393
트로이당구클럽,0.0,광주 북구 중흥로 88,당구장,35.1636118681033,126.903798541908
큐당구클럽,0.0,광주 광산구 사암로171번길 60,당구장,35.160107766235,126.804525420298
열린당구장,0.0,광주 광산구 사암로390번길 13-32,당구장,35.1794431105794,126.809897491856
메인당구장,0.0,광주 광산구 장신로82번길 16,당구장,35.1901630253625,126.818727706612
빅박스당구클럽,0.0,광주 동구 갈마로 56 5층,당구장,35.1615534968335,126.936597387368
SM당구장,0.0,광주 서구 내방로353번길 10,당구장,35.1582620444146,126.879611020529
브루클린당구클럽,4.42,광주 동구 충장로 102-12 번지 2층,당구장,35.1470554517517,126.917404264143
SM 당구클럽,0.0,광주 북구 설죽로 496-5,당구장,35.2039778279272,126.899047856352
존케이지빌리어즈 용산지구점,0.0,광주 광산구 사암로215번길 83,당구장,35.1638436349562,126.803752317246
국가대표당구장,0.0,광주 서구 운천로 13 CAN,당구장,35.1338016743013,126.859006896007
탑당구장,0.0,광주 광산구 광산로19번길 20,당구장,35.1390618819205,126.793520441313
s당구클럽,0.0,광주 서구 상무시민로 95-2,당구장,35.1554338802458,126.849557445173
락당구장,0.0,광주 서구 상무평화로 93-6,당구장,35.1486756555251,126.849404722623
우리동네당구장,0.0,광주 광산구 손재로110번길 35,당구장,35.1763566179168,126.798749478467
스타당구장,0.0,광주 광산구 용아로379번길 8,당구장,35.1772367954136,126.803862189918
신창당구장,0.0,광주 광산구 첨단중앙로152번길 76,당구장,35.2188136472679,126.846281255979
월산당구클럽,0.0,광주 북구 양산로 41 3층(양산동),당구장,35.2106715134157,126.878871678462
데굴데굴 당구클럽,0.0,광주 남구 봉선중앙로47번길 10,당구장,35.1251786161103,126.910495613243
코코당구장,0.0,광주 광산구 무진대로231번길 23,당구장,35.1632760541109,126.805936946243
포켓스토리,0.0,광주 광산구 손재로110번길 36,당구장,35.1758826639837,126.799062417208
스타당구클럽,0.0,광주 북구 일곡택지로 65,당구장,35.2075607695901,126.894061053873
수당구장,0.0,광주 광산구 임방울대로216번길 6-17,당구장,35.1804378150034,126.818695836134
그냥당구장,0.0,광주 남구 효천2로가길 5 4층 cc당구클럽,당구장,35.1020577624808,126.87389978257
준호네 당구장,0.0,광주 북구 두방길 95,당구장,35.165426309833,126.931049734747
힐링당구장,0.0,광주 서구 금화로85번길 6,당구장,35.1329513878404,126.858053680456
쿠션당구클럽,0.0,광주 북구 우치로90번길 21,당구장,35.1756783428899,126.913855501624
힐링당구클럽,0.0,광주 광산구 장신로147번길 5-12 4F 우리당구클럽,당구장,35.1913652601877,126.824984363944
네오빌리어드클럽,0.0,광주 동구 경양로 260,당구장,35.1560402848231,126.918440132346
작당당구장,0.0,광주 북구 운용로 86,당구장,35.17671808249,126.895450604833
스타당구클럽,0.0,광주 북구 북문대로103번길 21 3층,당구장,35.1785596852288,126.874864420692
민당구클럽,0.0,광주 남구 서문대로 700,당구장,35.1218220134326,126.89901120091
518당구장,0.0,광주 광산구 왕버들로265번길 7-11,당구장,35.1968379792801,126.837312259914
뽀록쟁이당구장,0.0,광주 북구 용봉택지로 95,당구장,35.1786662098531,126.896953006503
홍당구클럽,0.0,광주 광산구 용아로379번길 40,당구장,35.1770142900855,126.802168161219
안우평광주당구아카데미클럽,0.0,광주 북구 양산로 12,당구장,35.2108320649304,126.875515280182
이프로당구클럽,0.0,광주 서구 풍암1로21번길 15,당구장,35.1258350400648,126.879632645558
김성관당구클럽,0.0,광주 남구 백운로 66,당구장,35.1391904418135,126.906141911448
황제당구클럽,0.0,광주 남구 효덕로 304-1,당구장,35.1106244402251,126.896555543903
SM 당구클럽,0.0,광주 광산구 동곡로 739,당구장,35.1475147449314,126.777872846834
S당구클럽,0.0,광주 남구 군분로 86,당구장,35.1408433876067,126.891493490172
조이당구클럽,0.0,광주 남구 봉선중앙로123번길 20 송암빌딩 ( 스타폭스 ),당구장,35.1320227666154,126.908449422918
세븐당구장,0.0,광주 광산구 첨단중앙로152번길 62,당구장,35.2188128342362,126.845712964609
삼일당구장,0.0,광주 동구 무등로 419,당구장,35.1586937664497,126.927915091496
풀하우스포켓클럽,0.0,광주 동구 지산로 3,당구장,35.144623394709,126.930152080457
사나이당구장,0.0,광주 광산구 목련로153번길 79-1,당구장,35.1753954879271,126.814081105323
빌리케롬클럽,0.0,광주 북구 서하로 373,당구장,35.1860913529764,126.921275478405
센타당구클럽,0.0,광주 북구 용봉택지로 61,당구장,35.1787432698618,126.893302424148
휴먼당구장,0.0,광주 광산구 수완로 58,당구장,35.1902009370512,126.828991183711
금메달당구클럽,0.0,광주 동구 중앙로160번길 35,당구장,35.1462117168075,126.916395629928
M당구클럽,0.0,광주 서구 상무중앙로78번길 5-2,당구장,35.1541115487397,126.849382305066
트로이당구클럽,0.0,광주 북구 안산로 9,당구장,35.1881193336058,126.902251969353
큐당구클럽,0.0,광주 광산구 용아로379번길 10,당구장,35.1772035423092,126.803643916982
열린당구장,0.0,광주 북구 면앙로121번길 87,당구장,35.1808690480526,126.926835101974
메인당구장,0.0,광주 광산구 임방울대로332번길 35,당구장,35.1897596309828,126.825889131616
빅박스당구클럽,0.0,광주 북구 우치로90번길 8-5,당구장,35.1752226815275,126.913188643603
SM당구장,0.0,광주 광산구 월계로 169,당구장,35.2136680435915,126.844044726574
빅볼 당구장,0.0,"광주 남구 광복마을7길 7 2, 3층",당구장,35.1274011826525,126.895495018691
영구당구클럽,0.0,광주 북구 우치로110번길 28,당구장,35.1772918362806,126.913946454214
스카이당구클럽,0.0,광주 북구 우치로90번길 5,당구장,35.1756997342957,126.912888112236
명가당구클럽,0.0,광주 서구 상무버들로 26,당구장,35.1646064156893,126.860591640994
송정당구클럽,0.0,광주 광산구 용아로379번길 35 3층,당구장,35.1765189344247,126.802351704684
대통녕당구클럽,0.0,광주 동구 충장로 29,당구장,35.1513820577796,126.911878916267
탑당구장,0.0,광주 남구 봉선2로 39-6,당구장,35.1261759331449,126.910804567859
하남역당구클럽,0.0,광주 남구 회재로 1242,당구장,35.1338225124352,126.896881821197
VIP당구클럽,0.0,광주 서구 상무대로955번길 11-1,당구장,35.1526073260108,126.86633378429
포켓볼파티,0.0,광주 북구 양산택지로 52,당구장,35.210759936091,126.880595917055
스타당구클럽,0.0,광주 광산구 임방울대로826번길 25,당구장,35.216368244848,126.848970953365
연아당구장,0.0,광주 서구 군분로179번길 14,당구장,35.1471517607479,126.88439394008
타이거당구클럽,0.0,광주 서구 상무번영로 44 캐네디안바닷가재,당구장,35.153777890416,126.853296233411
센트럴당구클럽,0.0,광주 북구 탁영로 6,당구장,35.1665153272024,126.933132943039
킹당구클럽,0.0,광주 북구 문산로 27-4 7층 아지트당구장,당구장,35.184773015559,126.92194899737
원당구장,0.0,광주 서구 상무대로884번길 17-4 가도도시형생활주택,당구장,35.1486659273033,126.859464236813
